ID,LABEL,SubClass Of,SubProperty Of,IRI,Type
BFO:0000015,process,,,http://purl.obolibrary.org/obo/BFO_0000015,Class
BFO:0000016,disposition,,,http://purl.obolibrary.org/obo/BFO_0000016,Class
BFO:0000055,realizes,,,http://purl.obolibrary.org/obo/BFO_0000055,Object property
BFO:0000057,has_participant,,,http://purl.obolibrary.org/obo/BFO_0000057,Object property
BFO:0000077,has participant beginning to exist,,has_participant,http://purl.obolibrary.org/obo/BFO_0000077,Object property
BFO:0000078,has participant ceasing to exist,,has_participant,http://purl.obolibrary.org/obo/BFO_0000078,Object property
BFO:0000117,has occurrent part,,,http://purl.obolibrary.org/obo/BFO_0000117,Object property
BFO:0000119,has profile,,,http://purl.obolibrary.org/obo/BFO_0000119,Object property
BFO:0000132,part of occurrent,,,http://purl.obolibrary.org/obo/BFO_0000132,Object property
BFO:0000133,process profile of,,,http://purl.obolibrary.org/obo/BFO_0000133,Object property
BFO:0000144,process profile,process,,http://purl.obolibrary.org/obo/BFO_0000144,Class
BFO:0000162,has disposition at all times,,,http://purl.obolibrary.org/obo/BFO_0000162,Object property
CHEBI:15378,hydron,subatomic particle,,http://purl.obolibrary.org/obo/CHEBI_15378,Class
CHEBI:15734,primary alcohol,alcohol,,http://purl.obolibrary.org/obo/CHEBI_15734,Class
CHEBI:16526,carbon dioxide,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_16526,Class
CHEBI:17087,ketone,organic oxo compound,,http://purl.obolibrary.org/obo/CHEBI_17087,Class
CHEBI:17478,aldehyde,organic oxo compound,,http://purl.obolibrary.org/obo/CHEBI_17478,Class
CHEBI:18379,nitrile,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_18379,Class
CHEBI:22221,acyl group,organic group,,http://purl.obolibrary.org/obo/CHEBI_22221,Class
CHEBI:23367,molecular entity,chemical entity,,http://purl.obolibrary.org/obo/CHEBI_23367,Class
CHEBI:24431,chemical entity,,,http://purl.obolibrary.org/obo/CHEBI_24431,Class
CHEBI:24433,group,chemical entity,,http://purl.obolibrary.org/obo/CHEBI_24433,Class
CHEBI:24636,proton,hydron,,http://purl.obolibrary.org/obo/CHEBI_24636,Class
CHEBI:26519,radical,molecular entity,,http://purl.obolibrary.org/obo/CHEBI_26519,Class
CHEBI:29233,deuteron,hydron,,http://purl.obolibrary.org/obo/CHEBI_29233,Class
CHEBI:29441,isothiocyanato group,pseudohalo groups,,http://purl.obolibrary.org/obo/CHEBI_29441,Class
CHEBI:29444,isoselenocyanato group,pseudohalo groups,,http://purl.obolibrary.org/obo/CHEBI_29444,Class
CHEBI:29785,nitro group,group,,http://purl.obolibrary.org/obo/CHEBI_29785,Class
CHEBI:29810,isocyanato group,pseudohalo groups,,http://purl.obolibrary.org/obo/CHEBI_29810,Class
CHEBI:30879,alcohol,chemical entity,,http://purl.obolibrary.org/obo/CHEBI_30879,Class
CHEBI:32877,primary amine,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_32877,Class
CHEBI:32955,epoxide,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_32955,Class
CHEBI:33246,inorganic group,group,,http://purl.obolibrary.org/obo/CHEBI_33246,Class
CHEBI:33247,organic group,group,,http://purl.obolibrary.org/obo/CHEBI_33247,Class
CHEBI:33308,carboxylic ester,organic oxo compound,,http://purl.obolibrary.org/obo/CHEBI_33308,Class
CHEBI:33338,aryl group,group,,http://purl.obolibrary.org/obo/CHEBI_33338,Class
CHEBI:33575,carboxylic acid,carbonyl compound,,http://purl.obolibrary.org/obo/CHEBI_33575,Class
CHEBI:33595,cyclic compound,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_33595,Class
CHEBI:33641,olefin,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_33641,Class
CHEBI:33823,enol,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_33823,Class
CHEBI:33839,macromolecule,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_33839,Class
CHEBI:35681,secondary alcohol,alcohol,,http://purl.obolibrary.org/obo/CHEBI_35681,Class
CHEBI:36342,subatomic particle,chemical entity,,http://purl.obolibrary.org/obo/CHEBI_36342,Class
CHEBI:36357,polyatomic entity,molecular entity,,http://purl.obolibrary.org/obo/CHEBI_36357,Class
CHEBI:36586,carbonyl compound,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_36586,Class
CHEBI:36587,organic oxo compound,polyatomic entity,,http://purl.obolibrary.org/obo/CHEBI_36587,Class
CHEBI:36823,pseudohalo groups,group,,http://purl.obolibrary.org/obo/CHEBI_36823,Class
CHEBI:36824,,,,http://purl.obolibrary.org/obo/CHEBI_36824,Class
CHEBI:36825,azido group,pseudohalo groups,,http://purl.obolibrary.org/obo/CHEBI_36825,Class
CHEBI:36826,isocyano group,pseudohalo groups,,http://purl.obolibrary.org/obo/CHEBI_36826,Class
CHEBI:36827,isotellurocyanato group,pseudohalo groups,,http://purl.obolibrary.org/obo/CHEBI_36827,Class
CHEBI:37838,carboacyl group,acyl group,,http://purl.obolibrary.org/obo/CHEBI_37838,Class
CHEBI:37997,homopolymer,macromolecule,,http://purl.obolibrary.org/obo/CHEBI_37997,Class
CHEBI:39141,Brønsted acid,disposition,,http://purl.obolibrary.org/obo/CHEBI_39141,Class
CHEBI:39142,Brønsted base,disposition,,http://purl.obolibrary.org/obo/CHEBI_39142,Class
CHEBI:39143,Lewis acid,disposition,,http://purl.obolibrary.org/obo/CHEBI_39143,Class
